subject	article_name	doi	species_id	species_name	interaction_id	interaction_name	sentence
Molecular	PLoS_ONE-3-12-2597740	10.1371/journal.pone.0003957	BIO-nm.3093,BIO-sp2-1649,BIO-sp2-2089	E. coli,Salmonella enterica,Yersinia pseudotuberculosis	interaction:023:host	hosts	BRED is expected to be applicable to phages of other bacterial hosts in which recombineering systems have been described, including pathogenic  E. coli [34] ,  Shigella [35] ,  Salmonella enterica [36] , and  Yersinia pseudotuberculosis [37] .
Molecular	PLoS_One-4-10-2759079	10.1371/journal.pone.0007463	SF-309596,Fis-29960	B. graminis,grass	interaction:023:host	hosts	Neighbor Joining tree of the sequences obtained by degenerate primers from isolates of  B. graminis  from grass hosts: rye (f. sp.
Molecular	PLoS_ONE-3-9-2527657	10.1371/journal.pone.0003210	BIO-nm.3093,SF-163963	Escherichia coli,Saccharomyces cerevisiae	interaction:015:interaction	interaction	Much of the work on understanding regulatory networks has focused on  Escherichia coli  and the yeast  Saccharomyces cerevisiae  for which protein-protein or protein-DNA interaction data are most abundant.
Molecular	PLoS_ONE_2008_Jul_16_3(7)_e2664	10.1371/journal.pone.0002664	ITS-154350,ITS-154369	Nomia melanderi,Megachile rotundata	interaction:013:pollination	pollination	In the late 1950s, the use of non- Apis  bees (i.e. the two solitary bees  Nomia melanderi  Cockerell and  Megachile rotundata  Fabricius) started to become important in commercial pollination.
Molecular	PLoS_ONE_2008_Jul_16_3(7)_e2664	10.1371/journal.pone.0002664	ITS-714828,ITS-767827	bumble bees,O. bicornis	interaction:019:poisoning	toxin	This means that for a given test concentration, the absolute amount of toxin ingested by adult bumble bees in the study of Babendreier et al. [32]  was approximately five to ten times greater than the amount ingested by  O. bicornis  larvae in the present study.
Molecular	PLoS_ONE_2008_Jul_16_3(7)_e2664	10.1371/journal.pone.0002664	ITS-154396,ITS-714828	honey bees,bumble bees	interaction:006:affecting	affect	In contrast to a cysteine PI like OC-1, PIs that specifically bind to serine proteases (e.g. Kunitz Soybean Trypsin Inhibitor SBTI, Bowman-Birk Trypsin Inhibitor SBBI) have been found to significantly affect adult honey bees and bumble bees  [21] ,  [32] ,  [36] ,  [37] ,  [55] ,  [56] , probably because serine proteases predominate in the digestive tracts of these bees  [57] ,  [58]  and ingesting inhibitors of these enzymes can lead to quantitative and qualitative alterations in the digestive proteolysis  [54] ,  [56] ,  [59] .
Molecular	PLoS_ONE_2008_Jul_16_3(7)_e2664	10.1371/journal.pone.0002664	ITS-154396,ITS-714828	honey bees,bumble bees	interaction:019:poisoning	toxins	Our results are in agreement with studies on potential effects of Cry toxins on honey bees  [20] ,  [29]  and bumble bees  [32] ,  [60] , but only few of these studies included measurements on the larval stages  [22] .
Molecular	PLoS_One-4-10-2761005	10.1371/journal.pone.0007515	BIO-nm.3093,BIO-nm.4987	E. coli,B. stearothermophilus	interaction:015:interaction	interaction	In  E. coli , the interaction is relatively weak  [27]  whereas in  B. stearothermophilus,  the DnaB-DnaG complex is highly stable as can be purified intact by gel filtration  [24] .
Molecular	PLoS_One_2009_Sep_7_4(9)_e6930	10.1371/journal.pone.0006930	BIO-nm.3861,BIO-nm.3844|SF-179412|Fis-1677,BIO-sp2-218,BIO-nm.3861,BIO-nm.3833	W. succinogenes,H. hepaticus,C. jejuni,W. succinogenes,H. pylori	interaction:023:host	hosts	The ArsS ortholog WS1818 of  W. succinogenes  responds to acidic pH Although they have to pass through the stomach during infection of their hosts,  H. hepaticus ,  C. jejuni  and  W. succinogenes  are not expected to encounter extended periods of extremely low pH according to their non-gastric habitats and probably do not require acid adaptation systems as sophisticated as the one of  H. pylori .
Molecular	PLoS_ONE_2008_Jan_2_3(1)_e1386	10.1371/journal.pone.0001386	ITS-20060,ITS-20061	Silene conica,S. conoidea	interaction:024:relationship	relationship	The sistergroup relationship between  Silene conica  and  S. conoidea  has not been published before, but is based on their very similar morphology, i.e. they belong to the section  Conoimorpha  Otth, which is characterized by a calyx morphology and a basic chromosome number, both of which are unique in  Sileneae .
Molecular	PLoS_One_2010_Feb_10_5(2)_e9156	10.1371/journal.pone.0009156	ITS-180092,Dip-4509	human,Anopheles stephensi	interaction:014:eating	fed	The supernatant was discarded and the pellet was resuspended in an equal volume of human AB serum and fed to  Anopheles stephensi  adult females through a standard mosquito feeder.
Molecular	PLoS_ONE_2008_Dec_19_3(12)_e3987	10.1371/journal.pone.0003987	ITS-180092,Tic-779,Tic-165	Mans,Ornithodoros moubata,Argas monolakensis	interaction:018:scavenging	scavenge	Recently, Mans and Ribeiro have demonstrated that some salivary proteins (moubatin, TSGP2, TSGP3, TSGP4 and AM-33) from soft tick species ( Ornithodoros moubata ,  Argas monolakensis ) are able to scavenge arachidonic acid derivatives such as thromboxane A2 (moubatin and TSGP3), LTB4 (moubatin, TSGP2 and TSGP3) or leukotriene C4, D4 and E4 (TSGP4 and AM-33) with high affinity  [14] ,  [15] .
Molecular	PLoS_ONE-4-6-2691988	10.1371/journal.pone.0005923	BIO-sp2-1137,BIO-nm.6403	M. tuberculosis,M. smegmatis	interaction:006:affecting	affected	In addition it is seen that although the genes  emb A and  emb B are essential in  M. tuberculosis , the deletion of these genes is viable in  M. smegmatis  although the growth rate is affected  [23] .
Molecular	PLoS_One_2010_Aug_26_5(8)_e12415	10.1371/journal.pone.0012415	Dip-112348|Dip-Syn-4134,Fis-23128	C. deanei,arrowhead	interaction:002:symbiosis	symbiont	The obtained results generated cellular models showing that the symbiont presents a rod-shape ( Fig. 4B  and  movie S2 ) or a dumb-bell format, with the handle associated with the  C. deanei  nucleus ( Fig. 4C  – arrowhead and  movie S3 ).
Molecular	PLoS_One_2010_Aug_26_5(8)_e12415	10.1371/journal.pone.0012415	Dip-112348|Dip-Syn-4134,Fis-23128	C. deanei,arrowhead	interaction:023:host	host	The endosymbiont changes its format during the  C. deanei  cell cycle from a rod-shape ( Fig. 2B  and the supplementary data 2) to a more constricted or dividing form, which is associated to the host cell nucleus ( Fig. 2C  arrowhead and the supplementary data 3).
Molecular	PLoS_One-4-7-2704864	10.1371/journal.pone.0006225	Lep-89668.0,OSF-14169|OSF-S-17458,ITS-623947	Epiphyas postvittana,Gryllus bimaculatus,Reticulitermes flavipes	interaction:014:eating	feeding	In insects, Tuner and his colleagues first reported that RNAi can be triggered by oral delivery of dsRNAs for a gut gene  EposCXE1 , and an antennae gene  EposPBP1 , using a microvolume syringe to deliver dsRNA to the mouthparts of a lepidopteran  Epiphyas postvittana   [10] , later, it was found that feeding of dsRNA to the cricket  Gryllus bimaculatus   [11] , and termite  Reticulitermes flavipes   [12] , can also trigger an RNAi response.
Molecular	PLoS_One-4-7-2704864	10.1371/journal.pone.0006225	Lep-269224.0,Lep-68643.0	S. exigua,Bombyx mori	interaction:024:relationship	relationship	The phylogenetic tree showed that  S. exigua  SID-1 like 1 have the closest relationship with lepidopteran  Bombyx mori  SID-1 like 2 deduced proteins ( Figure 1A ).
Molecular	PLoS_One-4-8-2727795	10.1371/journal.pone.0006754	Eum-1017,Eum-1018	Endostelium zonatum,Protosteliopsis fimicola	interaction:024:relationship	relationships	To gain insights into the relationships among protosteloid amoebae and where they fit among other amoebae, we have sequenced the SSU of 21 isolates representing 17 species of protosteloid amoebae including multiple representatives of each of the five “eumycetozoan” groups of Spiegel  [2]  and three other species,  Endostelium zonatum, Protosteliopsis fimicola , and undescribed protosteloid isolate LHI05, whose morphologies suggest questionable affinity to the other purported eumycetozoans ( Figures 1 , 2 ).
Molecular	PLoS_One-4-8-2727795	10.1371/journal.pone.0006754	Eum-1017,Eum-1018	E. zonatum,P. fimicola	interaction:011:exclusion	excluded	However,  Eumycetozoa  cannot be rejected if it is defined to include only protosteliids, schizoplasmodiids, soliformoviids, cavosteliids, protosporangiids, dictyostelids, and myxogastrids, where,  E. zonatum ,  P. fimicola , isolate LHI05, and all nonfruiting amoebozoans are excluded from the constraint ( Table 2 ).
Molecular	PLoS_ONE_2009_Mar_25_4(3)_e4935	10.1371/journal.pone.0004935	ITS-180092,Fis-25237,Fis-25237,ITS-180092	human,zebrafish,zebrafish,human	interaction:015:interaction	interaction	In addition, comparative analysis of the interaction between genistein and the residues that line the ligand binding pocket clearly indicates that the substitution of human ERβ Met 336 by Leu (at position 354 and 369 in zebrafish ERβ−A and ERβ−B, respectively) is likely to decrease the affinity of zebrafish ERβs for genistein as compared to human ERβ ( Figure 6B ).
Molecular	PLoS_One_2011_Mar_29_6(3)_e18335	10.1371/journal.pone.0018335	BIO-nm.3924,BIO-nm.4871	Clostridium difficile,Bacillus anthracis	interaction:023:host,interaction:019:poisoning	host,toxin	Thus, SRE-luc transfected host cells were pretreated with a fusion protein in which the catalytic domain of  Clostridium difficile  TcdB toxin, is cloned downstream of the 255 amino-terminal residues of  Bacillus anthracis  LF  [25] .
Molecular	PLoS_One_2011_Jun_3_6(6)_e20710	10.1371/journal.pone.0020710	Dip-Syn-10145|Ara-013175|URM-Cn-3887,ILD-5222-4932|Dip-116833|Neu-S-17812|Lep-194411.0|Kew-115222|ITS-661252|Lep-23939.0|OSF-11074|Kew-109399|ITS-88885|Ast-Syn-1636|Lep-73465.0|Dip-Syn-94986|Lep-43227.0|Lep-200964.0|Wtx-78265|Dip-Syn-51194|Kew-109605|Dip-Syn-23769|Lep-203810.0|Kew-109301|ICH-90195652|Dip-67423|FLO-t7840|Ves-033746|Dip-Syn-141687|Rep-Syn-4389|ITS-605520|Ple-1924|Cer-S-89764|Kew-107855|Chi-sp2107|Kew-308179|Kew-311660|Wtx-48006|Kew-114118|Dip-Syn-8482|ITS-739147|ITS-743440|ITS-105928|Dip-101591|Alg-61917|Cer-14626|Lep-256030.0|Kew-112989|Myr-2024782|Lep-203607.0|Alg-61539|ITS-515641|OSF-10986|Alg-16859,ILD-5222-4932|Dip-116833|Neu-S-17812|Lep-194411.0|Kew-115222|ITS-661252|Lep-23939.0|OSF-11074|Kew-109399|ITS-88885|Ast-Syn-1636|Lep-73465.0|Dip-Syn-94986|Lep-43227.0|Lep-200964.0|Wtx-78265|Dip-Syn-51194|Kew-109605|Dip-Syn-23769|Lep-203810.0|Kew-109301|ICH-90195652|Dip-67423|FLO-t7840|Ves-033746|Dip-Syn-141687|Rep-Syn-4389|ITS-605520|Ple-1924|Cer-S-89764|Kew-107855|Chi-sp2107|Kew-308179|Kew-311660|Wtx-48006|Kew-114118|Dip-Syn-8482|ITS-739147|ITS-743440|ITS-105928|Dip-101591|Alg-61917|Cer-14626|Lep-256030.0|Kew-112989|Myr-2024782|Lep-203607.0|Alg-61539|ITS-515641|OSF-10986|Alg-16859	T. brucei,L. major,L. major	interaction:011:exclusion	excluded	eEF1A from  T. brucei  and  L. major  are 92% identical, and therefore we were surprised to find that in  LACK/TbRACK1 L. major , TbRACK1 was excluded from non-ribosomal fractions of this gradient.
Molecular	PLoS_One_2011_Jun_3_6(6)_e20710	10.1371/journal.pone.0020710	Dip-Syn-10145|Ara-013175|URM-Cn-3887,BIO-nm.3093	T. brucei,E. coli	interaction:015:interaction	interacts	This finding correlates with the previously published observation that recombinant TbRACK1 interacts with eEF1A in extracts of  T. brucei , or in extracts partially purified using a calmodulin column, but not when  E. coli  –expressed recombinant forms of both proteins obtained were used  [18] .
Molecular	PLoS_One_2011_Jun_3_6(6)_e20710	10.1371/journal.pone.0020710	Dip-Syn-10145|Ara-013175|URM-Cn-3887,ILD-5222-4932|Dip-116833|Neu-S-17812|Lep-194411.0|Kew-115222|ITS-661252|Lep-23939.0|OSF-11074|Kew-109399|ITS-88885|Ast-Syn-1636|Lep-73465.0|Dip-Syn-94986|Lep-43227.0|Lep-200964.0|Wtx-78265|Dip-Syn-51194|Kew-109605|Dip-Syn-23769|Lep-203810.0|Kew-109301|ICH-90195652|Dip-67423|FLO-t7840|Ves-033746|Dip-Syn-141687|Rep-Syn-4389|ITS-605520|Ple-1924|Cer-S-89764|Kew-107855|Chi-sp2107|Kew-308179|Kew-311660|Wtx-48006|Kew-114118|Dip-Syn-8482|ITS-739147|ITS-743440|ITS-105928|Dip-101591|Alg-61917|Cer-14626|Lep-256030.0|Kew-112989|Myr-2024782|Lep-203607.0|Alg-61539|ITS-515641|OSF-10986|Alg-16859	T. brucei,L. major	interaction:015:interaction,interaction:015:interaction	interacts,interaction	For example, in  T. brucei , RACK1 interacts with eEF1A  [18] , however our concerted efforts indicate this interaction may not occur in  L. major .
Molecular	PLoS_One-5-4-2856681	10.1371/journal.pone.0010227	BIO-nm.3093,OSF-S-13509|Dip-49169|OSF-S-13906|ITS-724306|Wtx-64341	E. coli,P. vivax	interaction:005:parasitism	parasites	It has pGEM backbone for replication in  E. coli , and the pyrimethamine resistant  Toxoplasma gondii  dihydrofolate reductase-thymidylate synthase gene (TgDHFR-TS) under the control of the  P. yoelii  α tubulin (PyαTb 5′) upstream and the  P. vivax  α tubulin (PvαTb 3′) downstream untranslated regions for selection of transfected parasites.
Molecular	PLoS_One-5-4-2856681	10.1371/journal.pone.0010227	BIO-nm.3093,OSF-S-13509|Dip-49169|OSF-S-13906|ITS-724306|Wtx-64341	E. coli,P. vivax	interaction:005:parasitism	parasites	It has a pGEM backbone for replication in  E. coli , and encodes the pyrimethamine resistant  Toxoplasma gondii  dihydrofolate reductase-thymidylate synthase gene (TgDHFR-TS) under the control of the  P. yoelii  α tubulin gene (PyαTb 5′) upstream untranslated region and the  P. vivax  α tubulin (PvαTb 3′) downstream untranslated region to allow selection of transfected parasites in  P. berghei .
Molecular	PLoS_One_2011_Jun_22_6(6)_e21465	10.1371/journal.pone.0021465	SF-258811,SF-258811,CIP-265|COO-t824|Kew-106821	Paracoccidioides brasiliensis,P. brasiliensis,L. amazonensis	interaction:005:parasitism	parasite	To answer this question we choose two taxonomically unrelated intracellular pathogens, including the dimorphic fungus  Paracoccidioides brasiliensis  ( P. brasiliensis ) and the protozoan parasite  Leishmania amazonensis  ( L. amazonensis ).
Molecular	PLoS_One_2011_Jun_22_6(6)_e21465	10.1371/journal.pone.0021465	BIO-sp2-1133,SF-258811,CIP-265|COO-t824|Kew-106821	M. avium,P. brasiliensis,L. amazonensis	interaction:015:interaction,interaction:005:parasitism	interaction,parasites	In addition to  M. avium , the interaction of other granuloma-inducing pathogens ( P. brasiliensis  and  L. amazonensis ) with ECs showed that inhibition of intracellular parasites growth was pathogen-dependent.
Molecular	PLoS_One_2011_Jun_22_6(6)_e21465	10.1371/journal.pone.0021465	BIO-sp2-1133,SF-258811,CIP-265|COO-t824|Kew-106821	M. avium,P. brasiliensis,L. amazonensis	interaction:005:parasitism	parasites	Like  M. avium , replication of  P. brasiliensis  was counteracted in ECs, while  L. amazonensis  parasites underwent replication above the rates seen in infected-macrophages.
Molecular	PLoS_ONE-4-4-2671401	10.1371/journal.pone.0005374	Fis-25147,Fis-30477,Fis-30477	L. fluviatilis,P. marinus,lamprey	interaction:024:relationship	relationship	In cases when both  L. fluviatilis  and  P. marinus  sequences were retrieved for a single gene, a nucleotide identity comprised between 98% (e.g., between clones 19 and 64 for Dbx1) and 100% (e.g., between clones 113 and 77 for Pitx2, see  Table 1 ) was observed on overlapping fragments, suggesting a close relationship between the two lamprey species.
Molecular	PLoS_ONE-3-3-2258151	10.1371/journal.pone.0001768	ITS-178036,Fis-54656	Anna's Hummingbird,sunrise	interaction:014:eating	feeding	Example of widespread ZENK expression in an Anna's Hummingbird male that had been performing many behaviours in the early morning (1h after sunrise), including flying, feeding, and chasing other birds.
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	BIO-nm.5677,ITS-180092,BIO-nm.5677	S. pneumoniae,human,S. pneumoniae	interaction:023:host	hosts	Our findings show that  S. pneumoniae  is capable of colonizing and infecting animal hosts and raises the question whether these animals, which as pets are often in close contact to children, serve as an extra-human reservoir for  S. pneumoniae .
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	BIO-nm.5677,Fis-26774	S. pneumoniae,German	interaction:011:exclusion	exclude	To exclude a possible transfer of  S. pneumoniae  from the animal facility staff members to the laboratory animals, throat swabs of animal facility staff members of the German Cancer Research Center (DKFZ) were taken.
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	Fis-22215|Fis-29358,ITS-573080,ITS-180092	dolphins,gorilla,human	interaction:012:invasion	invasive	Taken together, our data show that the pneumococcal isolates from mastomys, mice, rats, cats, dogs, dolphins and gorilla analysed in this study are highly similar, if not identical, to human isolates related to invasive pneumococcal disease and carriage.
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	Fis-125529|ITS-180722,ITS-180092	pig,human	interaction:012:invasion	invasive	Serotype 19F, found in all four guinea pig isolates, is a common serotype found in human isolates ( www.mlst.net ), where it is associated with invasive pneumococcal disease as well as carriage.
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	Fis-125529|ITS-180722,ITS-180691	pigs,horses	interaction:023:host	host	Pneumococci found in guinea pigs and horses seem to belong to separate host specific populations.
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	ITS-180691,Fis-125529|ITS-180722	horses,pigs	interaction:006:affecting	affected	On the other hand animals like horses and guinea pigs seem to be affected by their ‘own’ specific pneumococcal clones.
Molecular	PLoS_ONE-3-5-2375112	10.1371/journal.pone.0002240	ITS-552591,ITS-180092	thylacine,human	interaction:024:relationship	relationship	Phylogentic relationship of the thylacine PCR fragment was compared to the orthologous region from tammar wallaby, human, mouse and rat using the PHYLIP 3.63 program (University of Washington;  http://evolution.genetics.washington.edu/phylip/doc/main.html ) using maximum-likelihood, maximum parsimony and neighbor-joining analysis with 1000 replicates.
Molecular	PLoS_One-5-4-2851645	10.1371/journal.pone.0010090	Dip-4231,Dip-59789	A. gambiae,A. aegypti	interaction:024:relationship	relationships	Comparative analysis of mosquito ORs To obtain a better understanding of the relationships among mosquito ORs, we have carried out a phylogenetic analysis using putative amino acid sequences of ORs from three mosquito species,  A. gambiae   [7] ,  [25] ,  A. aegypti   [8]  and  Cx.
Molecular	PLoS_One_2010_Oct_28_5(10)_e15400	10.1371/journal.pone.0015400	SF-163963,Fis-29171|Fis-12375|Fis-26638|Fis-32493|Fis-119022|Fis-28888|Fis-50954|Fis-26602|Fis-33014|Fis-33020|Fis-62638|Fis-23035|Fis-23034|Fis-8265|Fis-23272|Fis-10975|Fis-153592|Fis-32583|Fis-27217	S. cerevisiae,sole	interaction:015:interaction	interacts	In  S. cerevisiae , the sole RhoGDI, Rdi1, interacts with Cdc42, Rho1 and Rho4  [32] ,  [33] .
Molecular	PLoS_One-5-2-2821918	10.1371/journal.pone.0009245	ITS-180092,Dip-4231	human,A. gambiae	interaction:023:host	host	Furthermore, a synergistic effect of ammonia, lactic and carboxylic acids, all components of human sweat, more actively secreted during fever episodes, has been described in the host-seeking behavior of  A. gambiae   [35] .
