subject	species	count
Biochemistry	Homo sapiens	1809.333333
Biochemistry	E. coli	658.000000
Biochemistry	Arrowhead	217.000000
Biochemistry	codd	176.530303
Biochemistry	S. cerevisiae	165.000000
Biochemistry	red jews	160.000000
Biochemistry	Butter breams	159.000000
Biochemistry	horses	155.000000
Biochemistry	D. americana	131.121324
Biochemistry	Common sole	104.368421
Biochemistry	texas cichlids	89.000000
Biochemistry	scad	71.500000
Biochemistry	D. melanogaster	67.800000
Biochemistry	Mycobacterium tuberculosis	60.000000
Biochemistry	Bacillus subtilis	53.750000
Biochemistry	pig (feral)s	50.200000
Biochemistry	Pseudomonas aeruginosa	44.500000
Biochemistry	Staphylococcus aureus	44.344828
Biochemistry	pacific breams	44.000000
Biochemistry	goldfishs	43.111111
Biochemistry	Zebra danio	41.750000
Biochemistry	german seabream	36.000000
Biochemistry	house mouses	34.857143
Biochemistry	Chelonoidis nigra	32.000000
Biochemistry	Spring salmons	30.603774
Biochemistry	african Clawed Frog	30.230769
Biochemistry	Platycephalus fuscus	30.000000
Biochemistry	norway rat	28.800000
Biochemistry	S. pneumoniae	28.000000
Biochemistry	M. picta	28.000000
Biochemistry	deadys	27.024390
Biochemistry	Arabidopsis thaliana	26.500000
Biochemistry	Helicobacter pylori	26.000000
Biochemistry	Kitty Mitchell	26.000000
Biochemistry	great Lakes pikes	25.908046
Biochemistry	S. typhimurium	25.000000
Biochemistry	S. pombe	25.000000
Biochemistry	amber	24.241379
Biochemistry	Bacillus anthracis	22.000000
Biochemistry	scaleless dragonfish	20.000000
Biochemistry	Salmonella enterica	20.000000
Biochemistry	Red Junglefowl	20.000000
Biochemistry	Epidemic cholera	20.000000
Biochemistry	tiger rockfishs	19.537904
Biochemistry	M. microlepis	19.524390
Biochemistry	P. pastoris	19.250000
Biochemistry	Dusky-mouthed moray eels	18.500000
Biochemistry	Conger	18.500000
Biochemistry	honey bee	18.000000
Biochemistry	S. pyogenes	18.000000
Biochemistry	Yersinia pestis	17.000000
Biochemistry	Mycobacterium smegmatis	17.000000
Biochemistry	Macaca mulatta	17.000000
Biochemistry	H. influenzae	17.000000
Biochemistry	Thorny backs	16.500000
Biochemistry	aurochs	16.125000
Biochemistry	Grass pickerel	16.000000
Biochemistry	goblet	15.000000
Biochemistry	C. botulinum	15.000000
Biochemistry	toshs longtail ray	14.884615
Biochemistry	thickbody skate	14.884615
Biochemistry	spotback skates	14.884615
Biochemistry	smallnose fanskate	14.884615
Biochemistry	rio skates	14.884615
Biochemistry	eyespot skate	14.884615
Biochemistry	cowfish	14.884615
Biochemistry	blotched sand skates	14.884615
Biochemistry	Whitemouth skate	14.884615
Biochemistry	Spade sand skate	14.884615
Biochemistry	Rays	14.884615
Biochemistry	Multispine skate	14.884615
Biochemistry	La Plata skate	14.884615
Biochemistry	Dipturus trachyderma	14.884615
Biochemistry	Dasyatis garouaensis	14.884615
Biochemistry	Thermus thermophilus	14.200000
Biochemistry	porcupine fish	14.000000
Biochemistry	chimpanzee	14.000000
Biochemistry	Agrobacterium tumefaciens	14.000000
Biochemistry	A. aegypti	14.000000
Biochemistry	Listeria monocytogenes	13.000000
Biochemistry	Dictyostelium discoideum	13.000000
Biochemistry	Bleaks	13.000000
Biochemistry	Anopheles gambiae	13.000000
Biochemistry	Bonefishs	12.666667
Biochemistry	Salmo salar	12.603774
Biochemistry	tub gurnard	12.000000
Biochemistry	silverstripe halfbeak	12.000000
Biochemistry	large-spotted dogfish	12.000000
Biochemistry	horseshoes	12.000000
Biochemistry	Thermotoga maritima	12.000000
Biochemistry	Shigella flexneri	12.000000
Biochemistry	S. frugiperda	12.000000
Biochemistry	C. trachomatis	12.000000
Biochemistry	Aras	12.000000
Biochemistry	Y. enterocolitica	11.000000
Biochemistry	S. solfataricus	11.000000
Biochemistry	Parlatoria-like scale	11.000000
Biochemistry	P. fluorescens	11.000000
Biochemistry	N. gonorrhoeae	11.000000
Biochemistry	M. jannaschii	11.000000
Biochemistry	Klebsiella pneumoniae	11.000000
Biochemistry	Borrelia burgdorferi	11.000000
Biochemistry	Neurospora crassa	10.090909
Biochemistry	greeks	10.000000
Biochemistry	comets	10.000000
Biochemistry	Variegated emperors	10.000000
Biochemistry	Rhodobacter sphaeroides	10.000000
Biochemistry	Pseudomonas putida	10.000000
Biochemistry	Oryza sativa	10.000000
Biochemistry	Norwest snapper	10.000000
Biochemistry	Neisseria meningitidis	10.000000
