subject	species	count
Biochemistry	Homo sapiens	1809.000000
Biochemistry	asp	204.000000
Biochemistry	S. cerevisiae	165.000000
Biochemistry	red jews	160.000000
Biochemistry	Butter breams	159.000000
Biochemistry	D. americana	131.000000
Biochemistry	Common sole	98.000000
Biochemistry	pig (feral)s	94.000000
Biochemistry	texas cichlids	89.000000
Biochemistry	scad	71.000000
Biochemistry	D. melanogaster	65.000000
Biochemistry	Mycobacterium tuberculosis	60.000000
Biochemistry	Bacillus subtilis	53.000000
Biochemistry	Staphylococcus aureus	44.000000
Biochemistry	Pseudomonas aeruginosa	44.000000
Biochemistry	C. elegans	41.000000
Biochemistry	Dusky-mouthed moray eels	37.000000
Biochemistry	german seabream	36.000000
Biochemistry	house mouses	34.000000
Biochemistry	Chelonoidis nigra	32.000000
Biochemistry	african Clawed Frog	30.000000
Biochemistry	Spring salmons	30.000000
Biochemistry	Zebra danio	29.000000
Biochemistry	norway rat	28.000000
Biochemistry	S. pneumoniae	28.000000
Biochemistry	Helicobacter pylori	26.000000
Biochemistry	S. typhimurium	25.000000
Biochemistry	S. pombe	25.000000
Biochemistry	Bacillus anthracis	22.000000
Biochemistry	scaleless dragonfish	20.000000
Biochemistry	Variegated emperors	20.000000
Biochemistry	Salmonella enterica	20.000000
Biochemistry	Red Junglefowl	20.000000
Biochemistry	honey bee	18.000000
Biochemistry	S. pyogenes	18.000000
Biochemistry	P. pastoris	18.000000
Biochemistry	C. albicans	18.000000
Biochemistry	Yersinia pestis	17.000000
Biochemistry	Mycobacterium smegmatis	17.000000
Biochemistry	Macaca mulatta	17.000000
Biochemistry	H. influenzae	17.000000
Biochemistry	aurochs	16.000000
Biochemistry	Thorny backs	16.000000
Biochemistry	goblet	15.000000
Biochemistry	C. botulinum	15.000000
Biochemistry	porcupine fish	14.000000
Biochemistry	chimpanzee	14.000000
Biochemistry	Agrobacterium tumefaciens	14.000000
Biochemistry	A. aegypti	14.000000
Biochemistry	Thermus thermophilus	13.000000
Biochemistry	Listeria monocytogenes	13.000000
Biochemistry	Bleaks	13.000000
Biochemistry	Anopheles gambiae	13.000000
Biochemistry	tub gurnard	12.000000
Biochemistry	silverstripe halfbeak	12.000000
Biochemistry	horseshoes	12.000000
Biochemistry	Thermotoga maritima	12.000000
Biochemistry	Shigella flexneri	12.000000
Biochemistry	Salmo salar	12.000000
Biochemistry	S. frugiperda	12.000000
Biochemistry	C. trachomatis	12.000000
Biochemistry	C. reinhardtii	12.000000
Biochemistry	Bonefishs	12.000000
Biochemistry	Aras	12.000000
Biochemistry	Y. enterocolitica	11.000000
Biochemistry	S. solfataricus	11.000000
Biochemistry	Parlatoria-like scale	11.000000
Biochemistry	P. fluorescens	11.000000
Biochemistry	N. gonorrhoeae	11.000000
Biochemistry	M. jannaschii	11.000000
Biochemistry	Klebsiella pneumoniae	11.000000
Biochemistry	Borrelia burgdorferi	11.000000
Biochemistry	B. mori	11.000000
Biochemistry	large-spotted dogfish	10.000000
