subject	article	doi	in_article
Molecular	PLoS_One-4-7-2699474	10.1371/journal.pone.0006110	1	
Molecular	PLoS_ONE-2-10-2034531	10.1371/journal.pone.0001089	2	
Molecular	PLoS_One_2011_May_10_6(5)_e19672	10.1371/journal.pone.0019672	7	
Molecular	PLoS_One-5-8-2922374	10.1371/journal.pone.0012198	1	
Molecular	PLoS_One_2011_Jul_29_6(7)_e21796	10.1371/journal.pone.0021796	3	
Molecular	PLoS_One_2011_Aug_1_6(8)_e21980	10.1371/journal.pone.0021980	1	
Molecular	PLoS_One_2011_Jun_17_6(6)_e21165	10.1371/journal.pone.0021165	2	
Molecular	PLoS_One_2011_Aug_17_6(8)_e23429	10.1371/journal.pone.0023429	1	
Molecular	PLoS_One_2011_Jul_1_6(7)_e21808	10.1371/journal.pone.0021808	3	
Molecular	PLoS_One_2011_Jun_15_6(6)_e21148	10.1371/journal.pone.0021148	2	
Molecular	PLoS_One_2011_Jun_16_6(6)_e20993	10.1371/journal.pone.0020993	2	
Molecular	PLoS_One-4-9-2735183	10.1371/journal.pone.0006983	7	
Molecular	PLoS_One_2011_Feb_25_6(2)_e17158	10.1371/journal.pone.0017158	2	
Molecular	PLoS_One_2011_Aug_10_6(8)_e23423	10.1371/journal.pone.0023423	3	
Molecular	PLoS_ONE_2009_May_27_4(5)_e5708	10.1371/journal.pone.0005708	0	
Molecular	PLoS_One-4-9-2739719	10.1371/journal.pone.0007050	5	
Molecular	PLoS_One_2011_Aug_18_6(8)_e22312	10.1371/journal.pone.0022312	3	
Molecular	PLoS_One-5-5-2871042	10.1371/journal.pone.0010656	2	
Molecular	PLoS_ONE-4-3-2650783	10.1371/journal.pone.0004797	5	
Molecular	PLoS_One_2011_May_19_6(5)_e20188	10.1371/journal.pone.0020188	2	
Molecular	PLoS_One-5-7-2912849	10.1371/journal.pone.0011909	5	
Molecular	PLoS_One_2011_Jan_19_6(1)_e16023	10.1371/journal.pone.0016023	2	
Molecular	PLoS_One-6-1-3017075	10.1371/journal.pone.0015768	2	
Molecular	PLoS_One_2011_Mar_18_6(3)_e17868	10.1371/journal.pone.0017868	5	
Molecular	PLoS_ONE-3-10-2572189	18974834	3	
Molecular	PLoS_ONE_2008_Feb_13_3(2)_e1594	10.1371/journal.pone.0001594	12	
Molecular	PLoS_One-5-5-2866661	10.1371/journal.pone.0010551	3	
Molecular	PLoS_ONE-3-12-2597740	10.1371/journal.pone.0003957	7	
Molecular	PLoS_One-5-8-2920830	10.1371/journal.pone.0012143	1	
Molecular	PLoS_One_2011_Jun_2_6(6)_e20301	10.1371/journal.pone.0020301	5	
Molecular	PLoS_One_2011_Mar_31_6(3)_e18450	10.1371/journal.pone.0018450	0	
Molecular	PLoS_ONE-3-1-2198948	10.1371/journal.pone.0001488	12	
Molecular	PLoS_One-5-2-2827538	10.1371/journal.pone.0009289	4	
Molecular	PLoS_One-5-11-2993930	10.1371/journal.pone.0014082	3	
Molecular	PLoS_One-5-8-2920816	10.1371/journal.pone.0012112	4	
Molecular	PLoS_One_2011_Jun_10_6(6)_e20987	10.1371/journal.pone.0020987	3	
Molecular	PLoS_One_2010_Mar_18_5(3)_e9745	10.1371/journal.pone.0009745	2	
Molecular	PLoS_One_2011_May_9_6(5)_e19738	10.1371/journal.pone.0019738	4	
Molecular	PLoS_One-5-11-2994769	10.1371/journal.pone.0014155	3	
Molecular	PLoS_ONE-3-2-2217591	10.1371/journal.pone.0001586	1	
Molecular	PLoS_ONE_2008_Jul_30_3(7)_e2815	10.1371/journal.pone.0002815	4	
Molecular	PLoS_One-4-10-2759079	10.1371/journal.pone.0007463	10	
Molecular	PLoS_One_2009_Sep_25_4(9)_e7147	10.1371/journal.pone.0007147	5	
Molecular	PLoS_ONE_2009_Feb_13_4(2)_e4450	10.1371/journal.pone.0004450	1	
Molecular	PLoS_One-5-7-2909204	10.1371/journal.pone.0011728	7	
Molecular	PLoS_One_2011_Mar_31_6(3)_e18421	10.1371/journal.pone.0018421	4	
Molecular	PLoS_One_2011_Jun_7_6(6)_e20567	10.1371/journal.pone.0020567	3	
Molecular	PLoS_One-4-7-2707011	10.1371/journal.pone.0006260	15	
Molecular	PLoS_One_2011_Feb_17_6(2)_e16865	10.1371/journal.pone.0016865	3	
Molecular	PLoS_One_2011_Mar_22_6(3)_e17979	10.1371/journal.pone.0017979	1	
Molecular	PLoS_One_2011_Jul_18_6(7)_e18032	10.1371/journal.pone.0018032	2	
Molecular	PLoS_One_2011_Apr_11_6(4)_e18136	10.1371/journal.pone.0018136	4	
Molecular	PLoS_One_2011_Apr_29_6(4)_e19322	10.1371/journal.pone.0019322	1	
Molecular	PLoS_One-5-9-2945763	10.1371/journal.pone.0012978	5	
Molecular	PLoS_ONE_2008_Dec_16_3(12)_e3949	10.1371/journal.pone.0003949	3	
Molecular	PLoS_One_2010_Nov_5_5(11)_e13864	10.1371/journal.pone.0013864	7	
Molecular	PLoS_ONE-3-9-2527657	10.1371/journal.pone.0003210	3	
Molecular	PLoS_One_2011_Feb_28_6(2)_e16722	10.1371/journal.pone.0016722	4	
Molecular	PLoS_One-5-3-2835736	10.1371/journal.pone.0009490	1	
Molecular	PLoS_ONE_2008_Sep_16_3(9)_e3220	10.1371/journal.pone.0003220	1	
Molecular	PLoS_One_2009_Mar_11_4(3)_e4801	10.1371/journal.pone.0004801	8	
Molecular	PLoS_One_2011_Apr_20_6(4)_e18955	10.1371/journal.pone.0018955	3	
Molecular	PLoS_One_2011_Jul_20_6(7)_e22412	10.1371/journal.pone.0022412	4	
Molecular	PLoS_ONE_2008_Nov_19_3(11)_e3766	10.1371/journal.pone.0003766	5	
Molecular	PLoS_One_2011_Mar_25_6(3)_e18183	10.1371/journal.pone.0018183	2	
Molecular	PLoS_One_2011_Jun_29_6(6)_e21717	10.1371/journal.pone.0021717	1	
Molecular	PLoS_One_2011_Feb_17_6(2)_e17058	10.1371/journal.pone.0017058	3	
Molecular	PLoS_ONE_2008_Jun_18_3(6)_e2424	10.1371/journal.pone.0002424	2	
Molecular	PLoS_ONE_2008_Jul_16_3(7)_e2664	10.1371/journal.pone.0002664	12	
Molecular	PLoS_One_2011_May_31_6(5)_e20159	10.1371/journal.pone.0020159	3	
Molecular	PLoS_One-4-10-2761005	10.1371/journal.pone.0007515	10	
Molecular	PLoS_One-5-4-2848848	10.1371/journal.pone.0010006	2	
Molecular	PLoS_ONE-4-4-2671147	10.1371/journal.pone.0005223	2	
Molecular	PLoS_ONE_2007_Jan_3_2(1)_e146	10.1371/journal.pone.0000146	2	
Molecular	PLoS_One_2009_Sep_17_4(9)_e7081	10.1371/journal.pone.0007081	2	
Molecular	PLoS_One_2011_Mar_21_6(3)_e18074	10.1371/journal.pone.0018074	2	
Molecular	PLoS_ONE-2-12-2092394	10.1371/journal.pone.0001272	3	
Molecular	PLoS_One_2009_Sep_7_4(9)_e6930	10.1371/journal.pone.0006930	10	
Molecular	PLoS_One-4-10-2758996	10.1371/journal.pone.0007471	6	
Molecular	PLoS_One-4-12-2779454	10.1371/journal.pone.0007992	5	
Molecular	PLoS_One_2011_Jun_28_6(6)_e21674	10.1371/journal.pone.0021674	4	
Molecular	PLoS_One_2009_Oct_22_4(10)_e7547	10.1371/journal.pone.0007547	5	
Molecular	PLoS_One_2010_May_14_5(5)_e10638	10.1371/journal.pone.0010638	4	
Molecular	PLoS_One_2011_Jun_2_6(6)_e20423	10.1371/journal.pone.0020423	1	
Molecular	PLoS_ONE-2-1-1764034	17206274	1	
Molecular	PLoS_One_2011_Jun_13_6(6)_e20867	10.1371/journal.pone.0020867	2	
Molecular	PLoS_One_2011_May_31_6(5)_e20600	10.1371/journal.pone.0020600	2	
Molecular	PLoS_One_2011_Apr_26_6(4)_e19405	10.1371/journal.pone.0019405	2	
Molecular	PLoS_One-5-8-2925892	10.1371/journal.pone.0012341	3	
Molecular	PLoS_One_2010_Nov_4_5(11)_e13834	10.1371/journal.pone.0013834	2	
Molecular	PLoS_One_2010_Jan_1_5(1)_e8552	10.1371/journal.pone.0008552	0	
Molecular	PLoS_One_2010_Sep_9_5(9)_e12636	10.1371/journal.pone.0012636	3	
Molecular	PLoS_One_2010_Mar_2_5(3)_e9500	10.1371/journal.pone.0009500	3	
Molecular	PLoS_One_2011_Jan_18_6(1)_e15879	10.1371/journal.pone.0015879	1	
Molecular	PLoS_One_2011_Jul_13_6(7)_e21627	10.1371/journal.pone.0021627	0	
Molecular	PLoS_ONE-3-8-2483416	10.1371/journal.pone.0002896	28	
Molecular	PLoS_ONE-3-6-2409220	10.1371/journal.pone.0002392	2	
Molecular	PLoS_ONE-3-2-2241665	10.1371/journal.pone.0001648	1	
Molecular	PLoS_ONE-3-7-2434202	10.1371/journal.pone.0002602	4	
Molecular	PLoS_One_2009_Jul_31_4(7)_e6446	10.1371/journal.pone.0006446	1	
Molecular	PLoS_ONE-1-1-1762338	17183700	1	
Molecular	PLoS_One-5-12-3011015	10.1371/journal.pone.0015627	5	
Molecular	PLoS_One_2011_Apr_29_6(4)_e18190	10.1371/journal.pone.0018190	2	
Molecular	PLoS_One_2011_Mar_31_6(3)_e18330	10.1371/journal.pone.0018330	3	
Molecular	PLoS_One_2011_Jul_15_6(7)_e22088	10.1371/journal.pone.0022088	0	
Molecular	PLoS_ONE-4-2-2645674	10.1371/journal.pone.0004636	1	
Molecular	PLoS_ONE_2008_Jan_2_3(1)_e1386	10.1371/journal.pone.0001386	11	
Molecular	PLoS_One_2011_Jun_22_6(6)_e21424	10.1371/journal.pone.0021424	2	
Molecular	PLoS_One_2009_Nov_17_4(11)_e7856	10.1371/journal.pone.0007856	6	
Molecular	PLoS_One-5-8-2915924	10.1371/journal.pone.0011964	3	
Molecular	PLoS_One_2010_Oct_27_5(10)_e13696	10.1371/journal.pone.0013696	2	
Molecular	PLoS_One-5-8-2918500	10.1371/journal.pone.0012007	2	
Molecular	PLoS_One_2010_Jul_9_5(7)_e11492	10.1371/journal.pone.0011492	3	
Molecular	PLoS_ONE_2009_Feb_23_4(2)_e4555	10.1371/journal.pone.0004555	2	
Molecular	PLoS_One_2011_Apr_29_6(4)_e19408	10.1371/journal.pone.0019408	1	
Molecular	PLoS_One_2011_Mar_15_6(3)_e17733	10.1371/journal.pone.0017733	2	
Molecular	PLoS_ONE_2007_Jul_11_2(7)_e609	17622354	22	
Molecular	PLoS_ONE_2009_Jun_11_4(6)_e5886	10.1371/journal.pone.0005886	4	
Molecular	PLoS_One_2009_Dec_16_4(12)_e8157	10.1371/journal.pone.0008157	4	
Molecular	PLoS_One_2011_Jul_5_6(7)_e21505	10.1371/journal.pone.0021505	3	
Molecular	PLoS_One_2011_Aug_3_6(8)_e21396	10.1371/journal.pone.0021396	2	
Molecular	PLoS_ONE_2007_Nov_14_2(11)_e1177	10.1371/journal.pone.0001177	7	
Molecular	PLoS_One_2010_Feb_10_5(2)_e9156	10.1371/journal.pone.0009156	4	
Molecular	PLoS_One-5-9-2943921	10.1371/journal.pone.0012858	2	
Molecular	PLoS_One_2011_Aug_1_6(8)_e22334	10.1371/journal.pone.0022334	3	
Molecular	PLoS_One_2011_Jul_1_6(7)_e21907	10.1371/journal.pone.0021907	3	
Molecular	PLoS_One_2011_Jan_31_6(1)_e16665	10.1371/journal.pone.0016665	1	
Molecular	PLoS_One_2010_Nov_10_5(11)_e13941	10.1371/journal.pone.0013941	5	
Molecular	PLoS_One_2011_May_23_6(5)_e20291	10.1371/journal.pone.0020291	3	
Molecular	PLoS_ONE_2008_Dec_30_3(12)_e4068	10.1371/journal.pone.0004068	2	
Molecular	PLoS_One_2011_Aug_2_6(8)_e23165	10.1371/journal.pone.0023165	4	
Molecular	PLoS_ONE-3-6-2408556	10.1371/journal.pone.0002387	5	
Molecular	PLoS_One_2011_Jun_10_6(6)_e20785	10.1371/journal.pone.0020785	2	
Molecular	PLoS_One_2011_May_6_6(5)_e18676	10.1371/journal.pone.0018676	1	
Molecular	PLoS_ONE_2008_Mar_19_3(3)_e1835	10.1371/journal.pone.0001835	3	
Molecular	PLoS_ONE-3-6-2396283	10.1371/journal.pone.0002342	3	
Molecular	PLoS_One-5-12-2997072	10.1371/journal.pone.0014229	1	
Molecular	PLoS_One_2011_Jan_24_6(1)_e16427	10.1371/journal.pone.0016427	3	
Molecular	PLoS_One-4-12-2794546	10.1371/journal.pone.0008445	2	
Molecular	PLoS_One_2011_Apr_22_6(4)_e18289	10.1371/journal.pone.0018289	3	
Molecular	PLoS_One_2009_Sep_23_4(9)_e7057	10.1371/journal.pone.0007057	3	
Molecular	PLoS_One_2011_Apr_14_6(4)_e18532	10.1371/journal.pone.0018532	2	
Molecular	PLoS_One_2011_Aug_25_6(8)_e23846	10.1371/journal.pone.0023846	3	
Molecular	PLoS_ONE-3-2-2220038	10.1371/journal.pone.0001592	2	
Molecular	PLoS_ONE-3-11-2573954	10.1371/journal.pone.0003632	3	
Molecular	PLoS_ONE-1-1-1762353	17183725	2	
Molecular	PLoS_ONE_2008_Oct_31_3(10)_e3609	18974834	3	
Molecular	PLoS_One-5-8-2922327	10.1371/journal.pone.0012029	2	
Molecular	PLoS_One-5-5-2862702	10.1371/journal.pone.0010426	3	
Molecular	PLoS_One_2009_Aug_12_4(8)_e6609	10.1371/journal.pone.0006609	1	
Molecular	PLoS_One-5-8-2925886	10.1371/journal.pone.0012339	3	
Molecular	PLoS_ONE_2008_Dec_19_3(12)_e3987	10.1371/journal.pone.0003987	11	
Molecular	PLoS_ONE-4-4-2664926	10.1371/journal.pone.0005204	3	
Molecular	PLoS_One_2011_May_31_6(5)_e20012	10.1371/journal.pone.0020012	6	
Molecular	PLoS_ONE_2008_Dec_12_3(12)_e3927	10.1371/journal.pone.0003927	1	
Molecular	PLoS_One-4-8-2718616	10.1371/journal.pone.0006566	2	
Molecular	PLoS_One-5-6-2888582	10.1371/journal.pone.0011240	5	
Molecular	PLoS_ONE-4-6-2691988	10.1371/journal.pone.0005923	7	
Molecular	PLoS_One_2011_Jun_13_6(6)_e19783	10.1371/journal.pone.0019783	11	
Molecular	PLoS_One-4-8-2716528	10.1371/journal.pone.0006493	1	
Molecular	PLoS_One_2010_Jul_26_5(7)_e11768	10.1371/journal.pone.0011768	1	
Molecular	PLoS_One_2011_Aug_17_6(8)_e23825	10.1371/journal.pone.0023825	1	
Molecular	PLoS_ONE-3-9-2533399	10.1371/journal.pone.0003268	1	
Molecular	PLoS_One-5-5-2873959	10.1371/journal.pone.0010724	3	
Molecular	PLoS_One_2009_Aug_14_4(8)_e6653	10.1371/journal.pone.0006653	2	
Molecular	PLoS_One_2010_Aug_26_5(8)_e12415	10.1371/journal.pone.0012415	3	
Molecular	PLoS_One_2011_Aug_23_6(8)_e23344	10.1371/journal.pone.0023344	3	
Molecular	PLoS_One-5-7-2895662	10.1371/journal.pone.0011397	3	
Molecular	PLoS_One-4-7-2704864	10.1371/journal.pone.0006225	20	
Molecular	PLoS_One_2011_Feb_2_6(2)_e16711	10.1371/journal.pone.0016711	3	
Molecular	PLoS_One_2009_Jul_14_4(7)_e6229	10.1371/journal.pone.0006229	3	
Molecular	PLoS_One-5-4-2854138	10.1371/journal.pone.0010163	2	
Molecular	PLoS_One_2011_Feb_22_6(2)_e17122	10.1371/journal.pone.0017122	1	
Molecular	PLoS_One-4-12-2780293	10.1371/journal.pone.0008153	2	
Molecular	PLoS_One_2009_Oct_23_4(10)_e7560	10.1371/journal.pone.0007560	4	
Molecular	PLoS_One-4-8-2727795	10.1371/journal.pone.0006754	22	
Molecular	PLoS_ONE-3-4-2292259	10.1371/journal.pone.0001982	5	
Molecular	PLoS_One_2011_Jun_24_6(6)_e21496	10.1371/journal.pone.0021496	2	
Molecular	PLoS_One_2010_Oct_22_5(10)_e13578	10.1371/journal.pone.0013578	3	
Molecular	PLoS_One-5-12-3003701	10.1371/journal.pone.0015353	0	
Molecular	PLoS_One-4-12-2780719	10.1371/journal.pone.0008128	2	
Molecular	PLoS_ONE_2007_Nov_28_2(11)_e1246	10.1371/journal.pone.0001246	2	
Molecular	PLoS_ONE-3-8-2493032	10.1371/journal.pone.0002956	4	
Molecular	PLoS_ONE-2-5-1868777	10.1371/journal.pone.0000478	8	
Molecular	PLoS_ONE_2009_Mar_25_4(3)_e4935	10.1371/journal.pone.0004935	10	
Molecular	PLoS_ONE-2-2-1790702	10.1371/journal.pone.0000201	2	
Molecular	PLoS_One_2011_Jun_29_6(6)_e21454	10.1371/journal.pone.0021454	6	
Molecular	PLoS_ONE_2009_Feb_27_4(2)_e4647	10.1371/journal.pone.0004647	5	
Molecular	PLoS_ONE_2008_Nov_11_3(11)_e3695	10.1371/journal.pone.0003695	1	
Molecular	PLoS_One-5-11-2980487	10.1371/journal.pone.0013974	2	
Molecular	PLoS_One-4-6-2699554	10.1371/journal.pone.0006087	4	
Molecular	PLoS_One_2011_Apr_29_6(4)_e19163	10.1371/journal.pone.0019163	3	
Molecular	PLoS_One_2011_Aug_31_6(8)_e24021	10.1371/journal.pone.0024021	1	
Molecular	PLoS_One_2011_Apr_7_6(4)_e18447	10.1371/journal.pone.0018447	3	
Molecular	PLoS_One_2010_Jan_11_5(1)_e8441	10.1371/journal.pone.0008441	1	
Molecular	PLoS_One-4-10-2759513	10.1371/journal.pone.0007513	4	
Molecular	PLoS_One_2011_Jan_28_6(1)_e14608	10.1371/journal.pone.0014608	10	
Molecular	PLoS_One_2011_Jun_16_6(6)_e21119	10.1371/journal.pone.0021119	2	
Molecular	PLoS_One_2011_Apr_18_6(4)_e18409	10.1371/journal.pone.0018409	3	
Molecular	PLoS_One_2010_May_5_5(5)_e10446	10.1371/journal.pone.0010446	2	
Molecular	PLoS_One_2009_Sep_11_4(9)_e7027	10.1371/journal.pone.0007027	8	
Molecular	PLoS_One_2011_Feb_10_6(2)_e16586	10.1371/journal.pone.0016586	1	
