subject	article_name	doi	species_id	species_name	interaction_id	interaction_name	sentence	Good data	Notes
Ecology	PLoS_One_2011_May_17_6(5)_e19817	10.1371/journal.pone.0019817	Fis-122288,Fis-29532,Fis-122288	frog,spiny,frogs	interaction:024:relationship	relationship	We explored the frog richness-altitude relationship, and also sought to assess the ability of area to explain altitudinal patterns of species richness and to test Rapoport's altitudinal rule and Bergmann's rule for spiny frogs.	N	species trigger problem
Ecology	PLoS_One_2011_May_17_6(5)_e19817	10.1371/journal.pone.0019817	Fis-29532,Fis-122288	spiny,frogs	interaction:024:relationship	relationship	10.1371/journal.pone.0019817.g004 Figure 4 Scatter plots showing the relationship between species richness of spiny frogs and area.	N	species trigger problem
Ecology	PLoS_One_2011_May_17_6(5)_e19817	10.1371/journal.pone.0019817	Fis-29532,Fis-122288	spiny,frogs	interaction:024:relationship	relationship	10.1371/journal.pone.0019817.g006 Figure 6 Relationship between altitudinal range midpoints and range size of spiny frogs.	N	species trigger problem
Ecology	PLoS_One_2011_May_17_6(5)_e19817	10.1371/journal.pone.0019817	Fis-29532,Fis-122288	spiny,frogs	interaction:024:relationship	relationship	10.1371/journal.pone.0019817.g008 Figure 8 Relationship between altitudinal range midpoints and body size of spiny frogs.	N	species trigger problem
Ecology	PLoS_One_2011_Feb_15_6(2)_e16793	10.1371/journal.pone.0016793	SF-339036,SF-446949	S. vermifera,P. indica	interaction:023:host	hosts	Recent studies have shown that the available strains of  S. vermifera  and  P. indica  differ quantitatively in the plant-beneficial effects they induce in different hosts  [15] , thus the vast genetic diversity of plant-associated Sebacinales offers interesting perspectives for future experimental research and inoculum development.	N	missing participant
Ecology	PLoS_One_2011_Aug_4_6(8)_e23229	10.1371/journal.pone.0023229	ITS-175011,ITS-175092,Kew-309045	Branta bernicla,Anas penelope,Zostera noltii	interaction:014:eating	feeding	Flocks of 150â€“200 Brent geese ( Branta bernicla ) and Wigeon ( Anas penelope ) were observed feeding daily on  Zostera noltii  from mid September to November (van der Heide et al., in preparation).	Y	
Ecology	PLoS_ONE_2007_Jan_24_2(1)_e168	17245444	Fis-29585,Fis-60170|Fis-29593|Fis-32979,Fis-60170|Fis-29593|Fis-32979	shortnose sturgeon,sturgeon,sturgeon	interaction:014:eating	feeding	Our shortnose sturgeon sampling was completed in two ways: (1) randomly dispersed sampling from June to mid-September (1995 and 1996) throughout the river when the sturgeon were feeding and widely distributed; and (2) targeted sampling of adult sturgeon at their wintering site in December, March, and early April, and their spawning grounds near Albany from mid-April through May (1994 to 1997,  Table 1 ).	N	species trigger problem
Ecology	PLoS_One_2009_Sep_18_4(9)_e7096	10.1371/journal.pone.0007096	Fis-25709,Fis-31641|Fis-26123|Fis-25576|Fis-25365|Fis-26517|Fis-25341,Fis-29393|Fis-24927|Fis-29395|Fis-29666|Fis-25131|Fis-22850|Fis-60266|Fis-118529|Fis-23375|Fis-22874,Fis-30604|Fis-35750|Fis-30706|Fis-35751|Fis-23851|Fis-24378|Fis-35747|Fis-23792|Fis-24365|Fis-24362|Fis-26147|Fis-24363|Fis-122913|Fis-30603	sling-jaw wrasse,coral trout,cods,lizardfish	interaction:001:predatorprey,interaction:001:predatorprey	predators,prey	Since most predators on recruits are mid-water (e.g. sling-jaw wrasse, coral trout) and bottom dwelling (e.g. cods and lizardfish) species, this avoidance strategy is most effective when prey are close to the sand, within the shadow of the coral.	N	missing participant
Ecology	PLoS_One_2009_Sep_18_4(9)_e7096	10.1371/journal.pone.0007096	ITS-183803,ITS-573082,ITS-202383|ITS-202386|ITS-202385	lions,chimpanzees,brown bears	interaction:001:predatorprey	prey	Large, dominant individuals often monopolise the best or greatest amount of prey in animals with strong dominance control (e.g. lions  [62] , chimpanzees  [63] , brown bears  [64] ).	N	species list
Ecology	PLoS_One_2010_Sep_29_5(9)_e12900	10.1371/journal.pone.0012900	Alg-349,Alg-1065	Hypnea musciformis,Ulva fasciata	interaction:012:invasion	invasive	One study in Hawaii  [50]  identified two invasive algae consumed by turtles,  Hypnea musciformis  and  Ulva fasciata , as having elevated Arg.	N	missing participant, missing interaction
